image_id,objects_count,od_time,depth_time,clustering_time,silhouette_score,clustering_inertia
test (78),9,1.0513279438018799,0.31119847297668457,0.018950223922729492,0.8111088200155975,1024847.7577836375
test (79),17,1.0219106674194336,0.3191659450531006,0.021941423416137695,0.4781492116850245,6489252.98266215
test (8),12,1.0774128437042236,0.32811546325683594,0.020945072174072266,0.4830815869088328,2739086.448078263
test (80),16,0.9725937843322754,0.33673834800720215,0.020944833755493164,0.5613727530802695,4203173.748829456
test (81),7,0.9534487724304199,0.30809712409973145,0.02094411849975586,0.7066503297787443,340105.720408049
test (82),10,0.9454724788665771,0.3141598701477051,0.02091193199157715,0.6832068664118698,931899.1622397946
test (83),12,0.9187183380126953,0.2982025146484375,0.02091360092163086,0.4816179214957898,3481192.0229689386
test (84),13,0.9874911308288574,0.30572962760925293,0.025899410247802734,0.6598876030058756,241880.2721109074
test (85),11,0.9444327354431152,0.3062169551849365,0.021941661834716797,0.5010528019431302,4119026.8711313237
test (86),16,0.9914543628692627,0.31862759590148926,0.02094435691833496,0.4748620915869534,2053067.9258108463
test (87),17,1.0919208526611328,0.371018648147583,0.023935556411743164,0.6600554665433349,5003322.523323181
test (88),10,1.0312294960021973,0.32825732231140137,0.021940946578979492,0.5231714403520036,2274237.639979749
test (89),10,0.9552178382873535,0.3101828098297119,0.021941184997558594,0.6585168886218433,1731893.933981623
test (9),7,0.9415462017059326,0.31316065788269043,0.024933815002441406,0.6036131422405584,1025985.80091818
test (90),12,1.0621888637542725,0.3291661739349365,0.022892475128173828,0.49624351877130585,7950370.421010346
test (91),6,0.9763915538787842,0.3261597156524658,0.01994776725769043,0.4893225732874101,1515686.5675376225
test (92),4,0.9958951473236084,0.3191044330596924,0.02194380760192871,0.36306999406281537,31878.37490116738
test (93),7,0.989386796951294,0.3510606288909912,0.020954608917236328,0.43455776396921086,567419.0005504072
test (94),11,0.9546830654144287,0.30718541145324707,0.021939754486083984,0.4252016600208302,3677656.516725417
test (95),9,0.9544525146484375,0.3121969699859619,0.027926206588745117,0.4438032654102709,2178797.122417591
test (96),7,0.9415743350982666,0.30222535133361816,0.020941495895385742,0.3787105503440707,299041.7594941497
test (97),13,0.9524283409118652,0.30814480781555176,0.021907567977905273,0.5802502121518252,5487846.227055202
test (98),9,1.0846278667449951,0.3072853088378906,0.020943403244018555,0.5495280006713849,1182808.9901197667
test (99),3,0.9564435482025146,0.29918646812438965,0.01889777183532715,0.5294774239595573,19122.91521433668
